CommonName,ScientificName,TreeImage,Description,TreeNumber,TreeCondition,DBH (inches),TotalHeight (feet),CrownNS (feet),CrownEW (Feet),LeafArea (Feet Squared),LeafBiomass (Pounds),GrossCarbonSequestration (Pounds per Year),StruturalTreeValue (Dollars),AvoidedWaterRunnoff (Feet Cubed per Year),GPSLat,GPSLong,GPSAlt,Tree Tour Index,TreeOnTour,NumberOnTour,GeorgiaNative,BeeTree,Type of Tree (tempation),Shape,Leaf Attachment,Leaf Type,Flowering,Flower Color,Cone/Fruit Type,Country of Origin,Habitat,Range,Fall Color,Proformance Feature,wood hardness,book pages
Big Leaf Magnolia,Magnolia macrophylla,04569_Magnolia_macrophylla.JPG,"Native to the southeastern United States including Georgia, the tree boasts the largest simple leaf and single ?ower of any native plant in North America.  Its collection may have an adverse impact on this tree’s existence due to low population density and has led to its status as an endangered species in some states.",4569,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,,3,Central Campus Tour,17,TRUE,TRUE,deciduous,"Broad, Rounded",Alternate,Untoothed Simple,TRUE,White,Conelike,"United States, Mexico",,,Green,,,90 430 441
Southern Red Oak,Quercus falcata,04570_Quercus_falcata.JPG,"Indigenous to the southeastern United States including Georgia, this tree grows in well-drained clay and loam soil in full sun.  The wood can be used in furniture making, however this is rare.",4570,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,,3,Central Campus Tour,18,TRUE,TRUE,deciduous,Rounded,Alternate,Lobed Simple,TRUE,Brown,Acorns,East and South-central United States,,,Copper,,,283 388
Virginia Pine,Pinus virginiana,04370_Pinus_virginiana.JPG,"Indigenous to the state of Georgia, this pine is useful for reforesting and provides nourishment for wildlife.  This tree is also commonly cultivated on Christmas tree farms.",4370,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,,3,Central Campus Tour,19,TRUE,FALSE,coniferous,Rounded,Whorled,Needle Like Conifers,TRUE,Yellow,Cones,United States,,,Green,,,14 473 298
American Elm,Ulmus americana,04565_Ulmas_americana.JPG,"Indigenous to eastern North America including Georgia, this tree grows in clay and silty clay soils and is resonably drought-tolerant.  The wood is important in the creation of sports equipment (especially hockey sticks), furniture, and ?ooring.",4565,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,,3,Central Campus Tour,20,TRUE,FALSE,deciduous,"Rounded, Vase Shaped",Alternate,Toothed Simple,TRUE,"Red, Green",Keys,North America,,,Yellow,,,162 373 498 419
Tea Olive,Osmanthus fragrans,00937_Osmanthus_fragrans.JPG,"In Chinese cuisine, its flowers may be infused with green or black tea leaves to create a scented tea. The flowers are also used to produce osmanthus-scented jam, sweet cakes, dumplings, soups, and even liquor.",937,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,,3,Central Campus Tour,21,FALSE,TRUE,coniferous,"Columnar, Rounded",Opposite,Toothed Simple,TRUE,White,Drupes,Asia,,,Green,,,
Carolina laurelcherry,Prunus caroliniana,00931_Prunus_caroliniana.JPG,"Native to the southeastern United States including Georgia, this tree has long been an ornamental tree and landscape hedge shrub in gardens.  It is sometimes considered a “weedy native” species because when it is damaged or cut down to the ground, it is capable of vigorously resprouting.  It often forms shrubby thickets in the wild.",931,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,,3,Central Campus Tour,22,TRUE,FALSE,coniferous,"Oval, Rounded",Alternate,Toothed Simple,TRUE,Cream,Plum,Southeastern United States,,,Green,,,138 408 496 
Service Berry,Amelanchier laevis,04344_Amelanchier_laevis.JPG,"Native to North America, the fruit are excellent to eat raw, tasting somewhat like a blueberry, strongly accented by the almond-like ?avour of the seeds.  The wood can be used for tool handles and ?shing rods.  Native Americans used it to make arrow shafts.",4344,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,,3,Central Campus Tour,23,TRUE,TRUE,deciduous,Vase Shaped,Alternate,Toothed Simple,TRUE,"White, Cream",Berries,North America,,,"Yellow, Red",,,
Japanese zelkova,Zelkova serrata,00943_Zelkova_serrata.JPG,"Indigenous to Japan, Korea, Manchuria, and Taiwan, this tree well-suited as a street and shade tree.  It is tolerant of wind, drought, and air pollution and produces dense shade. The tree is popular in the art of bonsai and the wood is  used in the creation of certain furniture and taiko (drums).",943,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,,3,Central Campus Tour,24,FALSE,FALSE,deciduous,Vase Shaped,Alternate,Toothed Simple,TRUE,Green,Drupes,"Japan, Korea, China, Taiwan",,,"Red, Yellow, Orange, Copper",Lawn or Park Tree,,153 426
Yaupon Holly,Ilex vomitoria,00951_Ilex_vomitoria.JPG,"Native to the southeastern United States including Georgia, the most common cultivars of this tree are slow-growing shrubs popular for their dense, evergreen foliage and their adaptability to pruning into hedges.  The fruit is an important food for many birds and mammals.  Native Americans used the leaves and stems to brew a tea.  ",951,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,,3,Central Campus Tour,25,TRUE,FALSE,coniferous,"Rounded, Vase Shaped",Alternate,Toothed Simple,TRUE,White,Berrylike Fruit,"Southeastern United States, South-central United States",,,Green,Brew Tea ,,208 561 565
Laurel Oak,Quercus laurifolia,02182_Quercus_laurifolia.JPG,"Native to the lower coastal United States including Georgia, the fruit of this tree is an acorn which provides food for raccoons, white-tailed deer, wild turkeys, squirrels, ducks, bobwhite quail, and small birds and rodents.",2182,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,,4,Hemphill/ IC Lawn Tour,1,TRUE,FALSE,deciduous,"Rounded, Oval",Alternate,Untoothed Simple,TRUE,Brown,Acorns,"Southeastern United States, South-central United States",,,Yellow,"Pulpwood, Ornamental",,51 394
Chinese Evergreen Oak,Quercus myrsinifolia,06284_Quercus_myrsinifolia.JPG,"The Chinese Evergreen Oak is native to east and central southeast China, Japan, Korea, and north southeast Asia. It has several common names, including bamboo-leaf oak,  Chinese evergreen oak, and Chinese ring-cupped oak.",6284,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,,4,Hemphill/ IC Lawn Tour,2,FALSE,FALSE,coniferous,Rounded,Alternate,Toothed Simple,TRUE,Green,Acorns,"China, Japan, Korea, Thailand, Laos, Vietnam",,,Green,,,
Pecan,Carya illinoinensis,06295_Carya_illinoinensis.JPG,"Native to southern and central North America, the nuts (pecans) are an excellent source of manganese, protein, unsaturated fats, and Omega-6 fatty acids.  Research shows that pecans contain plant sterols which are known for their cholesterol-lowering ability.",6295,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,,4,Hemphill/ IC Lawn Tour,3,TRUE,FALSE,deciduous,Rounded,Alternate,Compound,TRUE,Green,Nuts,United States,,,Yellow,,,327 535 348
Sugar Maple,Acer saccharum,06303_Acer_saccharum.JPG,"Native to North America including Georgia, this tree is known to engage in hydraulic lift, drawing water from lower soil layers and exuding that water into upper, drier soil layers, bene?ting the tree and other plants.  The sap is a primary source for maple syrup.  The wood is prized for its use in furniture and flooring.  ",6306,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,,4,Hemphill/ IC Lawn Tour,4,TRUE,TRUE,deciduous,Rounded,Opposite,Lobed Simple,TRUE,Green,Keys,Canada,,,"Orange, Brown",,,258 374 592
Red Mulberry,Morus rubra,06160_Morus_rubra.JPG,"Indigenous to eastern North America including Georgia, the fruit of this tree is very sweet.  It can be eaten raw, used in fruit pastries, or fermented into wine.  The wood is sometimes dried and used for smoking meats with a mild and sweet flavor.",6160,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,,4,Hemphill/ IC Lawn Tour,5,TRUE,FALSE,deciduous,Rounded,Alternate,Toothed Simple,TRUE,"Green, White",Berries,Eastern and Central North America,,,Yellow,Food,,157 432
Sugarberry,Celtis laevigata,06172_Celtis_laevigata.JPG,"Indigenous to North America including Georgia, this tree occurs primarily along streams and in moist soils on floodplains.  Birds consume the fruit, helping to disperse the seeds, and a number of insects eat the leaves.",6172,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,,4,Hemphill/ IC Lawn Tour,6,TRUE,FALSE,deciduous,"Rounded, Vase Shaped",Alternate,Toothed Simple,TRUE,Green,Drupes,North America,,,Yellow,"Furniture, Container, Producing sporting goods, Plywood",,139 412
Freeman Maple,Acer x freemanii,06025_Acer_x_freemanii.JPG,"A hybrid between the Red Maple and Silver Maple, this tree is a fast grower with less brittle wood and less invasive roots than Red Maple.",6025,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,,4,Hemphill/ IC Lawn Tour,7,TRUE,FALSE,deciduous,"Oval, Pyramind, Columnar",Opposite,Lobed Simple,TRUE,Red,Keys,Hybrid,,,"Yellow, Red",Shade Tree,,
Black Tupelo,Nyssa sylvatica,06024_Nyssa_sylvatica.JPG,"Native to eastern North America, this tree is cultivated as an ornamental tree in parks and large gardens, where it is often used as a specimen or shade tree.  It is best grown in sheltered but not crowded positions.  Hollow sections of the trunks were formerly used as bee gums by beekeepers and the sap is a major source of wild honey.",6024,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,,4,Hemphill/ IC Lawn Tour,8,TRUE,TRUE,deciduous,Conical,Alternate,Untoothed Simple,TRUE,Green,Berrylike Fruit,Eastern Noth America,,,Red,Ornamental,,72 540 583 
Nuttall Oak,Quercus texana,06023_Quercus_texana.JPG,"Indigenous to the lower central United States, this tree is adaptable to a wide array of soils, even clay.  The leaves display a vivid fall color and the fruit, the acorn, is an important food source for ducks.",6023,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,,4,Hemphill/ IC Lawn Tour,9,FALSE,FALSE,deciduous,"Rounded, Oval",Alternate,Lobed Simple,TRUE,Green,Nuts,South-central United States,,,"Red, Orange",Shade Tree,,
Chestnut Oak,Quercus prinus,06000_Quercus_prinus.JPG,Chestnut oak occurs primarily in the Appalachian Mountains and adjacent hill country. Chestnut oak is rareon the Southeastern Coastal Plain.  Chestnut oak wood is cut and utilized as white oak lumber.,6000,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,,4,Hemphill/ IC Lawn Tour,10,TRUE,FALSE,deciduous,Rounded,Alternate,Lobed Simple,TRUE,Green,Acorns,Eastern United States,,,"Orange, Brown",Lumber,,276 604
Swamp White Oak,Quercus bicolor,04971_Quercus_bicolor.JPG,"Native to the eastern United States, this tree forms hybrids with Bur Oak where they occur together in the wild.  Over 400 of these trees will be planted in the September 11th Memorial Plaza in Manhattan in New York.  Wildlife such as deer, ducks, and geese are attracted to this tree when the acorns drop in the fall season.",4971,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,,4,Hemphill/ IC Lawn Tour,11,FALSE,FALSE,deciduous,"Rounded, Oval",Alternate,Lobed Simple,TRUE,Brown,Acorns,Northeastern North America,,,"Yellow, Copper, Red",Lumber,,280 515 384
Overcup Oak,Quercus lyrata,04969_Quercus_lyrata.JPG,"Indigenous to the southeastern United States including Georgia, the common name comes from the acorns being largely enclosed in the cup and the scienti?c name comes from the lyrate (lyre-shaped) leaves.  Similar to other white oaks, the wood is valuable and used for making objects such as barrels, weaponry, and ships.",4969,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,,4,Hemphill/ IC Lawn Tour,12,TRUE,FALSE,deciduous,"Rounded, Oval",Alternate,Lobed Simple,TRUE,Brown,Acorns,Eastern and South-central United States,,,Copper,"Ornamental, Barrels making, Furniture",,278 395
Sawtooth Oak,Quercus acutissima,04961_Quercus_acutissima.JPG,"Indigenous to China, Korea, and Japan, this tree bears flowers that are wind-pollinated catkins and acorns as the fruit.  The wood has many of the characteristics of other fruit.  The wood has many of the characteristics of other is relegated to uses such as fencing.",4961,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,,4,Hemphill/ IC Lawn Tour,13,FALSE,FALSE,deciduous,"Pyramid, Round",Alternate,Toothed Simple,TRUE,Brown,Acorns,"China, Korea, Japan, Indochina, Himalayas",,,Yellow,shade Tree,,
Fosters Holly,Ilex x attenuata,04984_Ilex_x_attenuata.JPG,"Also known as Savannah Holly, the tree is ideal for use as a street tree.  The fruit of the tree is very attractive to wildlife and serves as an excellent food source.  The American Indians used preserved Holly berries as decorative buttons and were highly sought after by other tribes who bartered for them.",4984,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,,4,Hemphill/ IC Lawn Tour,14,FALSE,FALSE,coniferous,"Pyramid, Columnar",Alternate,Toothed Simple,TRUE,White,Berrylike Fruit,Hybrid,,,Green,Garden Use,,
Sweet Viburnum,Viburnum odoratissimum,04988_Viburnum_odoratissimum.JPG,"Native to Asia, this tree is a dense shrub often used for soundproofing between streets and houses.  It grows to 30 feet high and has glossy elliptical leaves that can grow up to 8 inches long.  In spring, it produces pyramid-shaped clusters of fragrant, white flowers, followed by red berries that age to black.",4988,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,,4,Hemphill/ IC Lawn Tour,15,FALSE,FALSE,coniferous,Rounded,Opposite,Toothed Simple,TRUE,White,Berrylike Fruit,Asia,,,Green,Garden Use,,
Pin Oak,Quercus palustris,04996_Quercus_palustris.JPG,"Native to the eastern half of Canada and the United States including Georgia, this tree is one of the most commonly used landscaping oak trees in its native range due to its relatively fast growth, ease of transplant, and pollution tolerance.  The distinctive shape of the tree is considered unique among hardwoods.",4996,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,,4,Hemphill/ IC Lawn Tour,16,TRUE,FALSE,deciduous,Conical,Alternate,Lobed Simple,TRUE,Brown,Acorns,North America,,,Red,"Landscaping, Garden Use, Medicine",,288 517 586 403
Boxelder,Acer negundo,09990_Acer_negundo.JPG,"Native to Georgia, this tree was used to make the oldest surviving Anasazi ?utes, dated to 620 AD.  Various Native American tribes have used it to make spiritual medicine, charcoal for body paint, and bellows, and used the sap to make sugar, syrup, and candy.",9990,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,,4,Hemphill/ IC Lawn Tour,17,TRUE,FALSE,deciduous,Rounded,Opposite,Lobed Simple,TRUE,Yellow,Keys,North America,,,Yellow,"Fiberboard, Make tubes, Spiritrual medicine for Native Americans",,335 494 572
Slippery Elm,Ulmas rubra,07465_Ulmus_rubra.JPG,"Native to North America, this tree is less susceptible to Dutch Elm Disease, a fungi spread by the elm bark beetle.  It serves commercial medicinal use as a demulcent, reducing inflammation in mucus membranes.  The wood is strong and used to make bows and wheel hubs.  The inner bark is used to make bow strings, twine, or rope. ",7465,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,,4,Hemphill/ IC Lawn Tour,18,TRUE,FALSE,deciduous,"Vase Shaped, Broad",Alternate,Toothed Simple,TRUE,Green,Keys,North America,,,Yellow,"Medicine, Timber, Pitched baseball, Starting fire, Threading",,160 500 423
Crepe myrtle,Lagerstroemia indica,07459_Lagerstroemia_indica.JPG,"Native to China, Korea, Japan, and India, the bark of this tree is a prominent feature as it is smooth, pinkish-gray and mottled, shedding each year.  The ?owers are white, pink, mauve, purple, or carmine.  The tree is a popular nesting shrub for songbirds and wrens.",7459,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,,4,Hemphill/ IC Lawn Tour,19,FALSE,TRUE,deciduous,Vase Shaped,Opposite,Untoothed Simple,TRUE,"Pink, White, Red",Capsule,"China, Korea, Japan, India Subcontinent",,,"Orange, Red, Yellow",Landscaping,,
Silver Maple,Acer saccharinum,10619_Acer_saccharinum.JPG,"Native to eastern North America including Georgia, this tree becomes a primary food source for wildlife in the spring.  Due to its fast growth, this tree is being researched as a potential source of biofuels.  The light wood is used to make furniture, cabinets, flooring, musical instruments, and tool handles.",10619,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,,4,Hemphill/ IC Lawn Tour,20,TRUE,FALSE,deciduous,Spreading,Opposite,Lobed Simple,TRUE,Red,Keys,Eastern and Central North America,,,Yellow,"Surga, Ornanmental, Landscaping, Food",,264 493 600
American Holly,Ilex opaca,04600_Ilex_opaca.JPG,"This tree is a popular Christmas and winter holiday season decoration.  Like all Hollies, this tree is dioecious, with separate male and female plants, and only female plants produce the characteristic red berries.  The wood is used to make whip handles, engraving blocks, and cabinets.  It can also be dyed and used as a substitute for ebony.  ",4600,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,,4,Hemphill/ IC Lawn Tour,21,TRUE,TRUE,coniferous,Pyramid,Alternate,Toothed Simple,TRUE,White,Berrylike Fruit,Eastern and South-central United States,,,Green,"Ornamental, Decoration, Brew Tea ",,212 559 564
Southern Catalpa,Catalpa bignonioides,10780_Catalpa_bignonioides.JPG,"Native to the southeastern United States including Georgia, the wood is brittle and hard, but does not rot easily.  It is used for fence posts and railroad ties.  Some plant it to attract the catalpa worm, which is harvested and used as fish bait.",10780,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,,4,Hemphill/ IC Lawn Tour,22,TRUE,FALSE,deciduous,Roundedd,Opposite,Untoothed Simple,TRUE,White,Capsule,Southeastern United States,,,"Green, Yellow",Ornamental,,94 663
Slash Pine,Pinus elliottii,04716_Pinus_elliottii.JPG,"Indigenous to the southeastern United States including Georgia, this tree is widely grown on plantations and used in horticulture.  It is named after the “slashes” – swampy ground overgrown with trees and bushes – that constitute its habitat.",4716,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,,4,Hemphill/ IC Lawn Tour,23,TRUE,FALSE,coniferous,"Pyramid, Oval",Alternate,Needle Leaf Conifers,TRUE,Yellow,Cones,Southeastern United States,,,Green,,,6 288
Loblolly Pine,Pinus taeda,04725_Pinus_taeda.JPG,"Indigenous to the southeastern United States including Georgia, this tree is the second most common species of tree in the country.  It is regarded as the most commercially important tree in the southeastern United States due to its timber.",4725,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,,4,Hemphill/ IC Lawn Tour,24,TRUE,FALSE,coniferous,Oval,Alternate,Needle Leaf Conifers,TRUE,Yellow,Cones,Southeastern United States,,,Green,,,3 297
Sweetgum,Liquidambar styraciflua,04730_Liquidambar_styraciflua.JPG,"The wood of this tree is used for furniture, interior finish, paper pulp, veneers, and baskets.  The heartwood was once used to make furniture, sometimes as imitation mahogany or Circassian walnut.  The hardened sap, or gum resin, can be chewed like chewing gum and has been long used for this purpose in the southern United States.",4730,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,Err:508,,4,Hemphill/ IC Lawn Tour,25,TRUE,FALSE,deciduous,Conical,Alternate,Lobed Simple,TRUE,Green,"Balls, Capsules, Tufted Fruit",Eastern North America,,,Red,,,266 509 594 624 453
